,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
229,2019-06-25,311.65000000,318.99000000,307.00000000,318.26000000,345559.65047000,345559.65047000,20.702,20.972,21.3967
230,2019-06-24,308.42000000,314.41000000,298.00000000,311.64000000,352791.26964000,352791.26964000,20.79,21.062,21.4753
231,2019-06-23,310.70000000,321.70000000,305.58000000,308.52000000,418812.02747000,418812.02747000,0.0,0.0,0.0
232,2019-06-22,294.25000000,314.39000000,289.69000000,310.79000000,726254.67061000,726254.67061000,0.0,0.0,0.0
233,2019-06-21,271.27000000,295.94000000,271.22000000,294.35000000,519818.06907000,519818.06907000,20.861,21.13,21.5587
234,2019-06-20,268.16000000,273.63000000,265.71000000,271.22000000,200717.77370000,200717.77370000,20.936,21.1975,21.6293
235,2019-06-19,264.68000000,270.00000000,263.59000000,268.14000000,208375.68381000,208375.68381000,20.94,21.2525,21.6747
236,2019-06-18,273.14000000,273.58000000,261.45000000,264.66000000,319941.55156000,319941.55156000,21.038,21.346,21.7533
237,2019-06-17,267.73000000,276.00000000,266.81000000,273.16000000,339277.66707000,339277.66707000,21.069,21.4335,21.8
238,2019-06-16,267.78000000,277.06000000,263.31000000,267.73000000,458176.54236000,458176.54236000,0.0,0.0,0.0
239,2019-06-15,262.48000000,272.27000000,260.61000000,267.82000000,286594.98029000,286594.98029000,0.0,0.0,0.0
240,2019-06-14,254.67000000,264.26000000,251.75000000,262.47000000,327383.28236000,327383.28236000,21.091,21.5065,21.851
241,2019-06-13,261.13000000,262.98000000,253.69000000,254.67000000,291757.21635000,291757.21635000,21.139,21.5965,21.8783
242,2019-06-12,244.36000000,261.87000000,242.20000000,261.15000000,336499.30160000,336499.30160000,21.185,21.669,21.922
243,2019-06-11,246.61000000,247.80000000,236.49000000,244.29000000,237508.42798000,237508.42798000,21.242,21.744,21.926
244,2019-06-10,231.02000000,247.45000000,227.03000000,246.51000000,314662.52637000,314662.52637000,21.334,21.818,21.894
245,2019-06-09,243.33000000,244.53000000,226.56000000,230.98000000,316931.85638000,316931.85638000,0.0,0.0,0.0
246,2019-06-08,248.78000000,250.53000000,240.37000000,243.25000000,188448.27748000,188448.27748000,0.0,0.0,0.0
247,2019-06-07,248.77000000,253.28000000,243.46000000,248.77000000,353378.65680000,353378.65680000,21.399,21.9075,21.856
248,2019-06-06,245.62000000,250.66000000,235.01000000,248.76000000,297579.14734000,297579.14734000,21.459,21.976,21.8287
249,2019-06-05,241.46000000,250.41000000,237.37000000,245.63000000,335953.37927000,335953.37927000,21.565,22.042,21.785
250,2019-06-04,250.02000000,251.67000000,234.39000000,241.39000000,633822.71246000,633822.71246000,21.654,22.111,21.719
251,2019-06-03,268.87000000,270.00000000,248.00000000,249.91000000,397360.65275000,397360.65275000,21.798,22.1655,21.6817
252,2019-06-02,264.33000000,273.20000000,263.20000000,268.88000000,301536.15062000,301536.15062000,0.0,0.0,0.0
253,2019-06-01,267.90000000,275.50000000,260.68000000,264.33000000,455676.98613000,455676.98613000,0.0,0.0,0.0
254,2019-05-31,254.59000000,268.72000000,245.21000000,267.90000000,602153.87244000,602153.87244000,21.922,22.231,21.6537
255,2019-05-30,268.92000000,288.62000000,240.14000000,254.56000000,1066279.49387000,1066279.49387000,22.054,22.248,21.6163
256,2019-05-29,271.08000000,274.04000000,260.05000000,268.83000000,383412.45769000,383412.45769000,22.153,22.2905,21.5723
257,2019-05-28,270.70000000,275.95000000,264.45000000,271.03000000,409443.69364000,409443.69364000,22.246,22.268,21.525
258,2019-05-27,264.35000000,279.59000000,260.00000000,270.53000000,635463.50204000,635463.50204000,0.0,0.0,0.0
259,2019-05-26,250.17000000,269.40000000,245.11000000,264.45000000,450090.22324000,450090.22324000,0.0,0.0,0.0
260,2019-05-25,248.84000000,257.33000000,247.22000000,250.22000000,332544.38731000,332544.38731000,0.0,0.0,0.0
261,2019-05-24,244.63000000,254.35000000,241.54000000,248.87000000,447066.92596000,447066.92596000,22.302,22.174,21.469
262,2019-05-23,243.68000000,247.34000000,231.10000000,244.56000000,600193.89368000,600193.89368000,22.416,22.0845,21.4093
263,2019-05-22,253.35000000,260.18000000,239.63000000,243.64000000,592848.95605000,592848.95605000,22.493,22.0135,21.3327
264,2019-05-21,250.48000000,262.00000000,246.06000000,253.43000000,580249.69753000,580249.69753000,22.519,21.895,21.2453
265,2019-05-20,259.37000000,259.49000000,238.00000000,250.37000000,666889.82241000,666889.82241000,22.568,21.7515,21.1453
266,2019-05-19,233.57000000,264.00000000,231.77000000,259.51000000,823859.06342000,823859.06342000,0.0,0.0,0.0
267,2019-05-18,244.31000000,248.00000000,230.62000000,233.60000000,673218.09982000,673218.09982000,0.0,0.0,0.0
268,2019-05-17,264.35000000,268.74000000,223.43000000,244.30000000,1529892.56898000,1529892.56898000,22.533,21.6235,21.0453
